sample,population,original_name,geographical_location
0,0,IC7770,AR
1,0,IC7771,AR
2,0,IC7772,AR
3,0,IC7773,AR
4,0,IC7774,AR
5,0,IC7775,AR
6,0,IC7776,AR
7,0,IC7777,AR
8,0,IC7778,AR
9,0,IC7779,AR
10,0,IC7641,AR 
11,1,IC6866,IN
12,1,IC7084,IN
13,1,IC7171,IN
14,2,IC6486,NC
15,2,IC6509,NC
16,2,IC6512,NC
17,2,IC6513,NC
18,2,IC6542,NC
19,2,IC6543,NC
20,2,IC6544,NC
21,2,IC6546,NC
22,2,IC6547,NC
23,2,IC8092,NC 
24,2,IC8213,NC 
25,3,IC6350,TX
26,3,IC6351,TX
27,3,IC6352,TX
28,3,IC6353,TX
29,3,IC6354,TX
30,3,IC6355,TX
31,3,IC6357,TX
32,3,IC6358,TX
33,3,IC6359,TX
34,3,IC6121,TX
35,3,IC6174,TX
36,3,IC6177,TX
37,3,IC7818,TX
38,3,IC7819,TX
39,3,IC7826,TX
40,3,IC7842,TX
41,3,IC7854,TX
42,3,IC7855,TX
43,3,IC7865,TX
44,3,IC7873,TX
45,3,IC7874,TX
46,3,IC7876,TX
47,3,IC7881,TX
48,3,IC7961,TX
49,3,IC7962,TX
50,3,IC7963,TX
