sample,population,original_name,geographical_location
0,0,IC7720,AR 
1,0,IC7681,AR 
2,0,IC7675,AR 
3,0,IC7677,AR 
4,0,IC7714,AR 
5,0,IC7716,AR 
6,0,IC7639,AR 
7,0,IC7646,AR 
8,0,IC7673,AR 
9,0,IC7674,AR 
10,0,IC7678,AR 
11,0,IC7715,AR 
12,0,IC7642,AR 
13,0,IC7647,AR 
14,0,IC7680,AR 
15,0,IC7719,AR 
16,0,IC7721,AR 
17,1,IC7165,IN
18,1,IC6863,IN
19,1,IC6865,IN
20,1,IC7081,IN
21,1,IC7083,IN
22,1,IC7164,IN
23,1,IC6862,IN
24,1,IC6868,IN
25,1,IC7086,IN
26,1,IC7167,IN
27,1,IC6860,IN
28,1,IC6861,IN
29,1,IC7079,IN
30,2,IC6539,NC
31,2,IC6514,NC
32,2,IC6538,NC
33,2,IC6541,NC
34,2,IC6481,NC
35,2,IC6516,NC
36,2,IC6517,NC
37,2,IC8210,NC 
38,2,IC8211,NC 
39,2,IC8208,NC 
40,2,IC8214,NC 
41,2,IC8216,NC 
42,2,IC8212,NC 
43,3,IC6172,TX
44,3,IC7930,TX
45,3,IC6113,TX
46,3,IC7829,TX
47,3,IC7888,TX
